date,cases,deaths
2020-08-22,45026,950
2020-08-23,32333,446
2020-08-24,40404,504
2020-08-25,39183,1213
2020-08-26,45319,1193
2020-08-27,45610,1126
2020-08-28,46564,1010
2020-08-29,44610,871
2020-08-30,33430,374
2020-08-31,36485,488
2020-09-01,44049,1091
2020-09-02,32444,1076
2020-09-03,46394,1078
2020-09-04,52104,980
2020-09-05,42254,712
2020-09-06,29999,411
2020-09-07,25166,263
2020-09-08,28941,458
2020-09-09,33332,1175
2020-09-10,38060,915
2020-09-11,47568,1227
2020-09-12,39104,701
2020-09-13,33343,399
2020-09-14,36887,450
2020-09-15,39217,1281
2020-09-16,39268,997
2020-09-17,45310,849
2020-09-18,48887,949
2020-09-19,41811,670
2020-09-20,36356,213
2020-09-21,54950,430
2020-09-22,37391,941
2020-09-23,41551,1090
2020-09-24,45202,885
2020-09-25,54581,853
2020-09-26,42697,769
2020-09-27,37298,267
2020-09-28,37360,350
2020-09-29,43697,926
2020-09-30,42058,974
2020-10-01,46418,847
2020-10-02,53580,865
2020-10-03,47779,709
2020-10-04,35063,333
2020-10-05,62412,429
2020-10-06,42862,721
2020-10-07,53017,996
2020-10-08,56383,928
2020-10-09,58962,915
2020-10-10,51648,592
2020-10-11,44783,419
2020-10-12,48016,351
2020-10-13,54394,826
2020-10-14,59853,1009
2020-10-15,65353,793
2020-10-16,70463,891
2020-10-17,52761,678
2020-10-18,47882,387
2020-10-19,65440,517
2020-10-20,60594,929
2020-10-21,64237,1208
2020-10-22,75128,828
2020-10-23,85131,926
2020-10-24,78698,872
2020-10-25,59712,339
2020-10-26,74497,538
2020-10-27,74397,983
2020-10-28,81924,1016
2020-10-29,90794,1004
2020-10-30,99814,971
2020-10-31,84235,838
2020-11-01,74224,427
2020-11-02,93739,540
2020-11-03,92630,1130
2020-11-04,107883,1616
2020-11-05,121541,1108
2020-11-06,132872,1246
2020-11-07,125932,1007
2020-11-08,103416,464
2020-11-09,130441,745
2020-11-10,139740,1465
2020-11-11,142860,1431
2020-11-12,163491,1172
2020-11-13,181593,1389
2020-11-14,159121,1210
2020-11-15,135187,623
2020-11-16,166454,796
2020-11-17,161745,1607
2020-11-18,172283,1925
2020-11-19,187470,1962
2020-11-20,198672,1952
2020-11-21,172003,1429
2020-11-22,141034,843
2020-11-23,179099,1038
2020-11-24,178290,2209
2020-11-25,180536,2313
2020-11-26,103104,1179
2020-11-27,205462,1412
2020-11-28,151245,1192
2020-11-29,136338,818
2020-11-30,167760,1265
2020-12-01,184286,2610
2020-12-02,201186,2885
2020-12-03,217959,2857
2020-12-04,231181,2637
2020-12-05,205757,2190
2020-12-06,172159,1111
2020-12-07,204142,1533
2020-12-08,219905,2821
2020-12-09,219678,3157
2020-12-10,225252,2937
2020-12-11,280514,2951
2020-12-12,207444,2259
2020-12-13,184248,1357
2020-12-14,201073,1678
2020-12-15,203000,3025
2020-12-16,245033,3611
2020-12-17,238445,3298
2020-12-18,251191,2870
2020-12-19,193947,2561
2020-12-20,179956,1429
2020-12-21,201570,1963
2020-12-22,201674,3239
2020-12-23,227750,3411
2020-12-24,193557,2824
2020-12-25,100994,1129
2020-12-26,216858,1646
2020-12-27,152102,1230
2020-12-28,189044,1899
2020-12-29,201106,3628
2020-12-30,229038,3808
2020-12-31,231045,3462
